Date,Days,STIR,LSR,SSR,d1,d2,d3,d4,d5
25/5/1998,Monday,-0.005004669,-0.007363459,0.00331068,1,0,0,0,0
26/5/1998,Tuesday,-0.00229505,-0.00259903,-0.023685459,0,1,0,0,0
27/5/1998,Wednesday,-0.023688595,-0.027363004,-0.027378626,0,0,1,0,0
28/5/1998,Thursday,-0.016810808,-0.010267749,0.00405281,0,0,0,1,0
29/5/1998,Friday,-0.005901082,0.005521051,0.009002617,0,0,0,0,1
1/6/1998,Monday,-0.021312949,-0.033482069,-0.063894506,1,0,0,0,0
2/6/1998,Tuesday,-0.013628186,-0.010840077,-0.025163041,0,1,0,0,0
3/6/1998,Wednesday,0.020247232,0.020303575,-0.019174215,0,0,1,0,0
4/6/1998,Thursday,-0.024825608,-0.019939365,-0.029293249,0,0,0,1,0
5/6/1998,Friday,-0.018326368,-0.014572916,-0.01836151,0,0,0,0,1
8/6/1998,Monday,-0.032438068,-0.024888523,-0.058542465,1,0,0,0,0
9/6/1998,Tuesday,-0.004349814,-0.001384815,-0.004015274,0,1,0,0,0
10/6/1998,Wednesday,-0.020296865,-0.022957044,-0.028085411,0,0,1,0,0
11/6/1998,Thursday,0.008667505,0.006886395,-0.056925652,0,0,0,1,0
12/6/1998,Friday,-0.015599892,-0.010140359,-0.003253469,0,0,0,0,1
15/6/1998,Monday,-0.047239464,-0.037155593,-0.088661076,1,0,0,0,0
16/6/1998,Tuesday,-0.019098327,-0.006848425,-0.011664249,0,1,0,0,0
17/6/1998,Wednesday,0.048660675,0.04907908,0.073088396,0,0,1,0,0
18/6/1998,Thursday,0.038075825,0.037496233,0.030030142,0,0,0,1,0
19/6/1998,Friday,-0.007956718,-0.009687445,-0.023062931,0,0,0,0,1
22/6/1998,Monday,-0.032534722,-0.030183418,-0.065871827,1,0,0,0,0
23/6/1998,Tuesday,-0.011836691,-0.01589267,-0.000953939,0,1,0,0,0
24/6/1998,Wednesday,0.000728939,-0.011158301,-0.002758664,0,0,1,0,0
25/6/1998,Thursday,-0.00352981,-0.006175629,0.014073888,0,0,0,1,0
26/6/1998,Friday,0.022572354,0.017377367,0.007217393,0,0,0,0,1
29/6/1998,Monday,-0.002559389,0.006550548,0.010039481,1,0,0,0,0
30/6/1998,Tuesday,-0.009143563,-0.001366973,-0.006922349,0,1,0,0,0
1/7/1998,Wednesday,0.038898624,0.035017455,0.002916104,0,0,1,0,0
2/7/1998,Thursday,0.020106632,0.015775246,0.028345632,0,0,0,1,0
3/7/1998,Friday,-0.016795402,-0.021667246,-0.019488029,0,0,0,0,1
6/7/1998,Monday,-0.002149148,-0.004600034,0.014913739,1,0,0,0,0
7/7/1998,Tuesday,-0.008633477,-0.008481638,-0.021775164,0,1,0,0,0
8/7/1998,Wednesday,-0.005140806,-0.007182982,-0.032325926,0,0,1,0,0
9/7/1998,Thursday,0.000511413,-0.006344469,-0.025114311,0,0,0,1,0
10/7/1998,Friday,-0.012229481,-0.008394752,-0.008980699,0,0,0,0,1
13/7/1998,Monday,-0.021628494,-0.014625314,-0.04115708,1,0,0,0,0
14/7/1998,Tuesday,0.000139697,0.005263109,-0.01344259,0,1,0,0,0
15/7/1998,Wednesday,0.017182706,0.007105955,0.042620891,0,0,1,0,0
16/7/1998,Thursday,0.011070206,0.005568735,-0.000683239,0,0,0,1,0
17/7/1998,Friday,0.019441962,0.010979574,0.019121445,0,0,0,0,1
20/7/1998,Monday,0.009270066,0.009181756,0.002521272,1,0,0,0,0
21/7/1998,Tuesday,-0.018674883,-0.015240983,-0.005481852,0,1,0,0,0
22/7/1998,Wednesday,-0.019030282,-0.020766416,-0.017834514,0,0,1,0,0
23/7/1998,Thursday,-0.000117455,-0.002520551,-0.031368676,0,0,0,1,0
24/7/1998,Friday,0.008111025,0.009155202,0.036613198,0,0,0,0,1
27/7/1998,Monday,-0.00393031,-0.00104808,-0.007647861,1,0,0,0,0
28/7/1998,Tuesday,-0.004200291,-0.001641954,0.000379147,0,1,0,0,0
29/7/1998,Wednesday,-0.011637655,-0.009556218,0.019090049,0,0,1,0,0
30/7/1998,Thursday,-0.00508336,-0.007153948,-0.057023879,0,0,0,1,0
31/7/1998,Friday,0.010209981,0.006408578,0.046435045,0,0,0,0,1
3/8/1998,Monday,-0.007109234,-0.015319244,-0.023591648,1,0,0,0,0
4/8/1998,Tuesday,-0.000833871,0.002312521,0.022007933,0,1,0,0,0
5/8/1998,Wednesday,-0.015331492,-0.014670338,0.001020782,0,0,1,0,0
6/8/1998,Thursday,0.013661661,0.018143964,0.000955013,0,0,0,1,0
7/8/1998,Friday,-0.015276502,-0.016038375,-0.034031884,0,0,0,0,1
10/8/1998,Monday,0,0,0,1,0,0,0,0
11/8/1998,Tuesday,-0.029574156,-0.026392397,-0.085714206,0,1,0,0,0
12/8/1998,Wednesday,-0.006502849,-0.01085127,0.008051373,0,0,1,0,0
13/8/1998,Thursday,-0.035190434,-0.046519831,-0.044254354,0,0,0,1,0
14/8/1998,Friday,0.0008999,-0.002057619,0.00826363,0,0,0,0,1
17/8/1998,Monday,-0.033500279,-0.029454236,-0.013071689,1,0,0,0,0
18/8/1998,Tuesday,0.004015059,0.001387822,0.003721038,0,1,0,0,0
19/8/1998,Wednesday,0.010812716,0.007566057,0.064633033,0,0,1,0,0
20/8/1998,Thursday,0.002051622,0.002220471,-0.007136945,0,0,0,1,0
21/8/1998,Friday,0.000638893,-0.004347704,0.053843128,0,0,0,0,1
24/8/1998,Monday,-0.022742934,-0.029979552,-0.027409267,1,0,0,0,0
25/8/1998,Tuesday,0.001170894,-0.00897618,0.004181337,0,1,0,0,0
26/8/1998,Wednesday,0.019411378,0.015858438,0.001141443,0,0,1,0,0
27/8/1998,Thursday,0.003206243,0.002466691,-0.005914294,0,0,0,1,0
28/8/1998,Friday,-0.026529711,-0.039944721,-0.018658403,0,0,0,0,1
31/8/1998,Monday,-0.03314383,-0.029421767,-0.0104232,1,0,0,0,0
1/9/1998,Tuesday,-0.035017509,-0.041994484,-0.027372061,0,1,0,0,0
2/9/1998,Wednesday,0.00111193,-0.015009632,0.016107772,0,0,1,0,0
3/9/1998,Thursday,-0.018469941,-0.030019932,-0.080486245,0,0,0,1,0
4/9/1998,Friday,-0.009470072,-0.001506216,0.032182616,0,0,0,0,1
7/9/1998,Monday,0.068479308,0.057284371,0.151787485,1,0,0,0,0
8/9/1998,Tuesday,0.007603545,0.018165985,-0.004593893,0,1,0,0,0
9/9/1998,Wednesday,0.019132466,0.010407438,-0.005009759,0,0,1,0,0
10/9/1998,Thursday,-0.023377777,-0.029765461,-0.028159117,0,0,0,1,0
11/9/1998,Friday,-0.013747241,-0.013949382,0.063293705,0,0,0,0,1
14/9/1998,Monday,0.028470687,0.024336136,0.096058757,1,0,0,0,0
15/9/1998,Tuesday,0.02747194,0.03045765,0.055826229,0,1,0,0,0
16/9/1998,Wednesday,0.048110174,0.043363305,-0.002262968,0,0,1,0,0
17/9/1998,Thursday,-0.005645693,-0.007666893,-0.058898832,0,0,0,1,0
18/9/1998,Friday,-0.030938309,-0.034969173,-0.046782901,0,0,0,0,1
21/9/1998,Monday,-0.033590298,-0.028610386,-0.015929933,1,0,0,0,0
22/9/1998,Tuesday,0.015436725,0.013176789,0.030261131,0,1,0,0,0
23/9/1998,Wednesday,0.005196667,0.00199279,-0.004501072,0,0,1,0,0
24/9/1998,Thursday,0.033817196,0.035099172,0.025815408,0,0,0,1,0
25/9/1998,Friday,-0.008685867,-0.00341243,-0.086176285,0,0,0,0,1
28/9/1998,Monday,0.007128828,0.007484834,0.012532098,1,0,0,0,0
29/9/1998,Tuesday,0.008539195,0.003859289,0.014415349,0,1,0,0,0
30/9/1998,Wednesday,0.001213954,0.003117918,0.003364778,0,0,1,0,0
1/10/1998,Thursday,-0.025469267,-0.021265095,0.023993366,0,0,0,1,0
2/10/1998,Friday,-0.017654546,-0.021910245,-0.026253277,0,0,0,0,1
5/10/1998,Monday,-0.018084973,-0.013537578,-0.089359621,1,0,0,0,0
6/10/1998,Tuesday,0.008584324,0.007309183,0.026658976,0,1,0,0,0
7/10/1998,Wednesday,0.033195734,0.022897892,0.037224458,0,0,1,0,0
8/10/1998,Thursday,0.031393263,0.033546468,0.007658556,0,0,0,1,0
9/10/1998,Friday,0.026656348,0.035940183,0.0126534,0,0,0,0,1
12/10/1998,Monday,0.040090657,0.057018133,0.015254987,1,0,0,0,0
13/10/1998,Tuesday,-0.00094477,0.001877724,-0.02946575,0,1,0,0,0
14/10/1998,Wednesday,-0.029841029,-0.036627504,0.066590511,0,0,1,0,0
15/10/1998,Thursday,0.038770753,0.041964156,0.050500955,0,0,0,1,0
16/10/1998,Friday,0.088522798,0.09266397,0.050205049,0,0,0,0,1
19/10/1998,Monday,0,0,0,1,0,0,0,0
20/10/1998,Tuesday,-0.009738224,-0.011055347,0.009484806,0,1,0,0,0
21/10/1998,Wednesday,0.028592935,0.019746859,0.076177168,0,0,1,0,0
22/10/1998,Thursday,-0.020732142,-0.02685056,-0.036746412,0,0,0,1,0
23/10/1998,Friday,-0.003505017,-0.007431013,-0.023953303,0,0,0,0,1
26/10/1998,Monday,-8.08E-05,-0.004133374,0.011079467,1,0,0,0,0
27/10/1998,Tuesday,0.03537928,0.03724218,0.034437842,0,1,0,0,0
28/10/1998,Wednesday,0.022813374,0.029154495,0.017682928,0,0,1,0,0
29/10/1998,Thursday,0.004590286,-0.006560691,0.03891083,0,0,0,1,0
30/10/1998,Friday,0.015873017,0.010485985,0.079614765,0,0,0,0,1
2/11/1998,Monday,0.04743652,0.065487626,0.045459145,1,0,0,0,0
3/11/1998,Tuesday,0.00026122,-0.004310832,-0.052775943,0,1,0,0,0
4/11/1998,Wednesday,0.029309727,0.014219977,0.027495199,0,0,1,0,0
5/11/1998,Thursday,-0.001176665,-0.006894497,0.00767756,0,0,0,1,0
6/11/1998,Friday,-0.012201694,-0.013554051,-0.00724342,0,0,0,0,1
9/11/1998,Monday,-0.051532751,-0.054931559,-0.065372633,1,0,0,0,0
10/11/1998,Tuesday,-0.039497636,-0.046875925,-0.064412144,0,1,0,0,0
11/11/1998,Wednesday,0.053780685,0.052506094,0.070380568,0,0,1,0,0
12/11/1998,Thursday,-0.032566425,-0.018701384,-0.081845663,0,0,0,1,0
13/11/1998,Friday,0.00808623,0.001525313,-0.014919392,0,0,0,0,1
16/11/1998,Monday,0.028450248,0.034865428,0.011770126,1,0,0,0,0
17/11/1998,Tuesday,-0.004827456,0.00201419,-0.03157025,0,1,0,0,0
18/11/1998,Wednesday,0.028668423,0.02867616,0.025093255,0,0,1,0,0
19/11/1998,Thursday,0.034660091,0.036542065,0.033858115,0,0,0,1,0
20/11/1998,Friday,0.023533147,0.013029302,-0.005907554,0,0,0,0,1
23/11/1998,Monday,0.02131582,0.03423965,0.059782021,1,0,0,0,0
24/11/1998,Tuesday,0.025780684,0.011191627,0.012263653,0,1,0,0,0
25/11/1998,Wednesday,-0.015973743,-0.021512951,-0.013509208,0,0,1,0,0
26/11/1998,Thursday,0.000136631,0.004841437,-0.019921617,0,0,0,1,0
27/11/1998,Friday,0.00291514,-0.002864062,0.016747392,0,0,0,0,1
30/11/1998,Monday,0.01550198,0.013654381,-0.009549352,1,0,0,0,0
1/12/1998,Tuesday,-0.034362954,-0.030068015,-0.025789983,0,1,0,0,0
2/12/1998,Wednesday,0.010820186,0.012808597,-0.020023864,0,0,1,0,0
3/12/1998,Thursday,-0.029455526,-0.031010687,-0.011134789,0,0,0,1,0
4/12/1998,Friday,0.010146131,0.012543197,-0.011818808,0,0,0,0,1
7/12/1998,Monday,0.014404316,0.016825173,-0.0153136,1,0,0,0,0
8/12/1998,Tuesday,0.012121011,0.007762221,0.007149201,0,1,0,0,0
9/12/1998,Wednesday,0.02198655,0.02210847,-0.005774625,0,0,1,0,0
10/12/1998,Thursday,0.010675724,0.001346079,0.04159627,0,0,0,1,0
